Diamond{index=293, carat=0.51, cut=Ideal, color=D, clarity=VVS1, depth=61.7, percentageOfWidth=56.0, cost=2797.0, length=5.12, width=5.16}
Diamond{index=235, carat=0.64, cut=Ideal, color=D, clarity=VS1, depth=61.5, percentageOfWidth=56.0, cost=2787.0, length=5.54, width=5.55}
Diamond{index=572, carat=0.7, cut=Ideal, color=D, clarity=VS2, depth=61.0, percentageOfWidth=57.0, cost=2833.0, length=5.74, width=5.76}
Diamond{index=304, carat=0.78, cut=Ideal, color=D, clarity=SI1, depth=61.9, percentageOfWidth=57.0, cost=2799.0, length=5.91, width=5.86}
Diamond{index=225, carat=0.72, cut=Ideal, color=D, clarity=SI1, depth=60.8, percentageOfWidth=57.0, cost=2782.0, length=5.76, width=5.75}
Diamond{index=351, carat=0.72, cut=Ideal, color=D, clarity=SI1, depth=62.2, percentageOfWidth=56.0, cost=2804.0, length=5.74, width=5.77}
Diamond{index=352, carat=0.72, cut=Ideal, color=D, clarity=SI1, depth=61.5, percentageOfWidth=54.0, cost=2804.0, length=5.77, width=5.8}
Diamond{index=133, carat=0.71, cut=Ideal, color=D, clarity=SI1, depth=61.9, percentageOfWidth=59.0, cost=2764.0, length=5.69, width=5.72}
Diamond{index=423, carat=0.71, cut=Ideal, color=D, clarity=SI1, depth=62.4, percentageOfWidth=57.0, cost=2812.0, length=5.69, width=5.72}
Diamond{index=501, carat=0.71, cut=Ideal, color=D, clarity=SI1, depth=60.2, percentageOfWidth=56.0, cost=2822.0, length=5.86, width=5.83}
Diamond{index=350, carat=0.7, cut=Ideal, color=D, clarity=SI1, depth=61.0, percentageOfWidth=59.0, cost=2804.0, length=5.68, width=5.7}
Diamond{index=499, carat=0.7, cut=Ideal, color=D, clarity=SI1, depth=60.7, percentageOfWidth=56.0, cost=2822.0, length=5.75, width=5.72}
Diamond{index=504, carat=0.7, cut=Ideal, color=D, clarity=SI1, depth=59.7, percentageOfWidth=58.0, cost=2822.0, length=5.82, width=5.77}
Diamond{index=506, carat=0.7, cut=Ideal, color=D, clarity=SI1, depth=62.5, percentageOfWidth=57.0, cost=2822.0, length=5.62, width=5.59}
Diamond{index=507, carat=0.7, cut=Ideal, color=D, clarity=SI1, depth=61.8, percentageOfWidth=56.0, cost=2822.0, length=5.73, width=5.63}
Diamond{index=510, carat=0.7, cut=Ideal, color=D, clarity=SI1, depth=61.4, percentageOfWidth=54.0, cost=2822.0, length=5.75, width=5.71}
Diamond{index=63, carat=0.3, cut=Ideal, color=D, clarity=SI1, depth=62.5, percentageOfWidth=57.0, cost=552.0, length=4.29, width=4.32}
Diamond{index=64, carat=0.3, cut=Ideal, color=D, clarity=SI1, depth=62.1, percentageOfWidth=56.0, cost=552.0, length=4.3, width=4.33}
Diamond{index=342, carat=0.91, cut=Ideal, color=D, clarity=SI2, depth=62.2, percentageOfWidth=57.0, cost=2803.0, length=6.21, width=6.15}
Diamond{index=156, carat=0.76, cut=Ideal, color=D, clarity=SI2, depth=62.4, percentageOfWidth=57.0, cost=2770.0, length=5.78, width=5.83}
Diamond{index=171, carat=0.75, cut=Ideal, color=D, clarity=SI2, depth=61.3, percentageOfWidth=56.0, cost=2773.0, length=5.85, width=5.89}
Diamond{index=380, carat=0.74, cut=Ideal, color=D, clarity=SI2, depth=61.7, percentageOfWidth=55.0, cost=2810.0, length=5.81, width=5.85}
Diamond{index=160, carat=0.73, cut=Ideal, color=D, clarity=SI2, depth=59.9, percentageOfWidth=57.0, cost=2770.0, length=5.92, width=5.89}
Diamond{index=121, carat=0.71, cut=Ideal, color=D, clarity=SI2, depth=62.3, percentageOfWidth=56.0, cost=2762.0, length=5.73, width=5.69}
Diamond{index=145, carat=0.71, cut=Ideal, color=D, clarity=SI2, depth=61.6, percentageOfWidth=55.0, cost=2767.0, length=5.74, width=5.76}
Diamond{index=542, carat=0.7, cut=Ideal, color=D, clarity=SI2, depth=60.6, percentageOfWidth=57.0, cost=2828.0, length=5.74, width=5.77}
Diamond{index=546, carat=0.59, cut=Ideal, color=E, clarity=VVS1, depth=62.0, percentageOfWidth=56.0, cost=2829.0, length=5.36, width=5.38}
Diamond{index=481, carat=0.53, cut=Ideal, color=E, clarity=VVS1, depth=61.9, percentageOfWidth=55.0, cost=2821.0, length=5.2, width=5.21}
Diamond{index=514, carat=0.61, cut=Ideal, color=E, clarity=VVS2, depth=61.3, percentageOfWidth=54.0, cost=2823.0, length=5.51, width=5.59}
Diamond{index=110, carat=0.59, cut=Ideal, color=E, clarity=VVS2, depth=62.0, percentageOfWidth=55.0, cost=2761.0, length=5.38, width=5.43}
Diamond{index=372, carat=0.58, cut=Ideal, color=E, clarity=VVS2, depth=60.9, percentageOfWidth=56.0, cost=2808.0, length=5.41, width=5.43}
Diamond{index=181, carat=0.54, cut=Ideal, color=E, clarity=VVS2, depth=61.6, percentageOfWidth=56.0, cost=2776.0, length=5.25, width=5.27}
Diamond{index=182, carat=0.54, cut=Ideal, color=E, clarity=VVS2, depth=61.5, percentageOfWidth=57.0, cost=2776.0, length=5.24, width=5.26}
Diamond{index=83, carat=0.26, cut=Ideal, color=E, clarity=VVS2, depth=62.9, percentageOfWidth=58.0, cost=554.0, length=4.02, width=4.06}
Diamond{index=469, carat=0.7, cut=Ideal, color=E, clarity=VS1, depth=62.9, percentageOfWidth=57.0, cost=2818.0, length=5.66, width=5.61}
Diamond{index=593, carat=0.7, cut=Ideal, color=E, clarity=VS1, depth=61.8, percentageOfWidth=56.0, cost=2837.0, length=5.74, width=5.69}
Diamond{index=174, carat=0.6, cut=Ideal, color=E, clarity=VS1, depth=61.7, percentageOfWidth=55.0, cost=2774.0, length=5.41, width=5.44}
Diamond{index=420, carat=0.26, cut=Ideal, color=E, clarity=VS1, depth=61.5, percentageOfWidth=57.0, cost=556.0, length=4.09, width=4.12}
Diamond{index=587, carat=0.72, cut=Ideal, color=E, clarity=VS2, depth=62.8, percentageOfWidth=57.0, cost=2835.0, length=5.71, width=5.73}
Diamond{index=180, carat=0.71, cut=Ideal, color=E, clarity=VS2, depth=62.2, percentageOfWidth=57.0, cost=2776.0, length=5.79, width=5.62}
Diamond{index=454, carat=0.71, cut=Ideal, color=E, clarity=VS2, depth=62.7, percentageOfWidth=57.0, cost=2817.0, length=5.66, width=5.64}
Diamond{index=119, carat=0.7, cut=Ideal, color=E, clarity=VS2, depth=60.7, percentageOfWidth=58.0, cost=2762.0, length=5.73, width=5.76}
Diamond{index=192, carat=0.7, cut=Ideal, color=E, clarity=VS2, depth=62.1, percentageOfWidth=55.0, cost=2777.0, length=5.7, width=5.67}
Diamond{index=586, carat=0.7, cut=Ideal, color=E, clarity=VS2, depth=61.5, percentageOfWidth=54.0, cost=2835.0, length=5.7, width=5.75}
Diamond{index=431, carat=0.76, cut=Ideal, color=E, clarity=SI1, depth=61.7, percentageOfWidth=57.0, cost=2814.0, length=5.88, width=5.85}
Diamond{index=479, carat=0.75, cut=Ideal, color=E, clarity=SI1, depth=62.0, percentageOfWidth=57.0, cost=2821.0, length=5.8, width=5.78}
Diamond{index=559, carat=0.75, cut=Ideal, color=E, clarity=SI1, depth=61.4, percentageOfWidth=57.0, cost=2831.0, length=5.82, width=5.87}
Diamond{index=122, carat=0.74, cut=Ideal, color=E, clarity=SI1, depth=62.3, percentageOfWidth=54.0, cost=2762.0, length=5.8, width=5.83}
Diamond{index=210, carat=0.74, cut=Ideal, color=E, clarity=SI1, depth=61.7, percentageOfWidth=56.0, cost=2779.0, length=5.84, width=5.8}
Diamond{index=263, carat=0.73, cut=Ideal, color=E, clarity=SI1, depth=62.2, percentageOfWidth=56.0, cost=2791.0, length=5.74, width=5.78}
Diamond{index=333, carat=0.73, cut=Ideal, color=E, clarity=SI1, depth=60.6, percentageOfWidth=54.0, cost=2803.0, length=5.84, width=5.89}
Diamond{index=558, carat=0.72, cut=Ideal, color=E, clarity=SI1, depth=62.3, percentageOfWidth=57.0, cost=2831.0, length=5.7, width=5.76}
Diamond{index=588, carat=0.72, cut=Ideal, color=E, clarity=SI1, depth=61.0, percentageOfWidth=57.0, cost=2835.0, length=5.78, width=5.8}
Diamond{index=266, carat=0.71, cut=Ideal, color=E, clarity=SI1, depth=61.3, percentageOfWidth=55.0, cost=2792.0, length=5.72, width=5.77}
Diamond{index=459, carat=0.71, cut=Ideal, color=E, clarity=SI1, depth=61.3, percentageOfWidth=55.0, cost=2817.0, length=5.77, width=5.72}
Diamond{index=516, carat=0.71, cut=Ideal, color=E, clarity=SI1, depth=60.5, percentageOfWidth=56.0, cost=2823.0, length=5.77, width=5.73}
Diamond{index=91, carat=0.7, cut=Ideal, color=E, clarity=SI1, depth=62.5, percentageOfWidth=57.0, cost=2757.0, length=5.7, width=5.72}
Diamond{index=150, carat=0.7, cut=Ideal, color=E, clarity=SI1, depth=60.9, percentageOfWidth=57.0, cost=2768.0, length=5.73, width=5.76}
